epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1154.01,2.99719,2.53247,2.86813,0.57803,0.49325,0.51609,0.22493,2.00134,1.97483,2.39103,0.07001,0.00333222,0.00333222
2,2307.16,1.88916,1.46494,1.90743,0.78575,0.62623,0.73787,0.38814,1.75774,1.55246,2.08242,0.039944,0.00659957,0.00659957
3,3437.34,1.74151,1.30179,1.76852,0.83656,0.72877,0.83093,0.47768,1.56491,1.25063,1.92937,0.009812,0.00980091,0.00980091
4,4556.82,1.67359,1.16239,1.70901,0.86343,0.72575,0.83252,0.49311,1.52947,1.22036,1.87392,0.009703,0.009703,0.009703
5,5665.88,1.61665,1.05759,1.66322,0.85842,0.75584,0.85298,0.50924,1.49618,1.11222,1.83531,0.009604,0.009604,0.009604
6,6774.61,1.58327,0.98735,1.63462,0.88521,0.79323,0.88435,0.53319,1.45498,1.01825,1.79378,0.009505,0.009505,0.009505
7,7900.72,1.55619,0.94099,1.61934,0.90634,0.81812,0.89862,0.55556,1.41659,0.94917,1.76704,0.009406,0.009406,0.009406
8,9007.79,1.53466,0.90161,1.5971,0.91194,0.81535,0.90751,0.56411,1.3845,0.91659,1.74821,0.009307,0.009307,0.009307
9,10110.3,1.51598,0.8751,1.59041,0.91948,0.82394,0.91498,0.57508,1.37677,0.86712,1.73126,0.009208,0.009208,0.009208
10,11280.4,1.5001,0.84367,1.5737,0.91787,0.8086,0.90386,0.57778,1.34761,0.88969,1.71956,0.009109,0.009109,0.009109
11,12469.9,1.49573,0.83316,1.57387,0.91418,0.84043,0.92425,0.58408,1.36389,0.82056,1.71607,0.00901,0.00901,0.00901
12,13580,1.47843,0.81255,1.55992,0.93643,0.83486,0.92486,0.59358,1.34845,0.81544,1.69912,0.008911,0.008911,0.008911
13,14665,1.4686,0.80053,1.54525,0.93385,0.84166,0.92565,0.59995,1.31595,0.79298,1.68795,0.008812,0.008812,0.008812
14,15766.6,1.45416,0.78133,1.54101,0.92965,0.8548,0.93432,0.59999,1.32843,0.7651,1.68974,0.008713,0.008713,0.008713
15,16856.2,1.44961,0.77398,1.53627,0.92996,0.84835,0.93194,0.59549,1.33293,0.77482,1.69908,0.008614,0.008614,0.008614
16,17944.7,1.43853,0.76285,1.52669,0.92344,0.84553,0.93024,0.60396,1.30645,0.7697,1.67705,0.008515,0.008515,0.008515
17,19014,1.42846,0.75301,1.51917,0.92466,0.85232,0.93542,0.61007,1.31023,0.74851,1.67261,0.008416,0.008416,0.008416
18,20086.7,1.42236,0.74114,1.51461,0.93369,0.85483,0.93325,0.59933,1.33938,0.75989,1.68963,0.008317,0.008317,0.008317
19,21153.5,1.41693,0.73815,1.51432,0.93849,0.86991,0.94488,0.61232,1.29768,0.70647,1.66253,0.008218,0.008218,0.008218
20,22220.5,1.41077,0.726,1.50727,0.94014,0.86834,0.94664,0.61123,1.30852,0.71806,1.66575,0.008119,0.008119,0.008119
21,23287.2,1.3949,0.71814,1.5011,0.9399,0.87075,0.9466,0.61059,1.30707,0.70259,1.6633,0.00802,0.00802,0.00802
