epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3465.7,2.93853,2.46754,2.885,0.52105,0.40147,0.41866,0.18094,2.1741,2.15642,2.55603,0.07001,0.00333222,0.00333222
2,1414.88,1.89977,1.43965,1.92121,0.48786,0.4747,0.46129,0.22201,1.9525,1.92218,2.26629,0.039944,0.00659957,0.00659957
3,2890.16,1.74889,1.27547,1.77999,0.85288,0.71212,0.82536,0.47154,1.60424,1.27116,1.97111,0.009812,0.00980091,0.00980091
4,4262.7,1.6752,1.13958,1.71401,0.86689,0.7476,0.85648,0.52255,1.49449,1.11857,1.85945,0.009703,0.009703,0.009703
5,5634.19,1.62227,1.03227,1.66939,0.87123,0.76198,0.86458,0.53259,1.46973,1.06622,1.83204,0.009604,0.009604,0.009604
6,7004.06,1.57753,0.96538,1.63322,0.88783,0.79891,0.89202,0.55501,1.42168,0.9644,1.78503,0.009505,0.009505,0.009505
7,8374.55,1.54921,0.92507,1.61176,0.88086,0.79017,0.88236,0.52324,1.52075,0.96678,1.84148,0.009406,0.009406,0.009406
8,9743.49,1.52816,0.892,1.60015,0.92181,0.81715,0.91463,0.57909,1.34871,0.87938,1.7245,0.009307,0.009307,0.009307
9,11112.6,1.5112,0.86216,1.58114,0.91464,0.83534,0.91814,0.58216,1.3726,0.84629,1.74462,0.009208,0.009208,0.009208
10,12478.7,1.49731,0.84066,1.57648,0.92547,0.83609,0.92325,0.59834,1.30746,0.82939,1.69128,0.009109,0.009109,0.009109
11,13845.7,1.47675,0.81626,1.56029,0.91084,0.83847,0.9203,0.59132,1.32166,0.82011,1.70171,0.00901,0.00901,0.00901
12,15214,1.47327,0.80968,1.56066,0.93227,0.85317,0.93324,0.61159,1.29509,0.78523,1.67414,0.008911,0.008911,0.008911
13,16595.9,1.46133,0.79058,1.55055,0.93799,0.85264,0.93595,0.6055,1.31333,0.75459,1.69085,0.008812,0.008812,0.008812
14,17962.5,1.45142,0.78424,1.53534,0.93658,0.8469,0.93551,0.61749,1.27217,0.76141,1.66666,0.008713,0.008713,0.008713
15,19330.4,1.43966,0.76425,1.53198,0.93619,0.8469,0.93612,0.6177,1.26663,0.76432,1.66519,0.008614,0.008614,0.008614
16,20698.4,1.4384,0.75677,1.53005,0.93334,0.85437,0.93192,0.60913,1.29736,0.74333,1.67891,0.008515,0.008515,0.008515
17,22065.5,1.42832,0.74954,1.52133,0.93304,0.86437,0.93875,0.60972,1.29255,0.72414,1.67039,0.008416,0.008416,0.008416
18,23433.4,1.41648,0.73487,1.51106,0.93584,0.86678,0.939,0.61479,1.27654,0.71025,1.65897,0.008317,0.008317,0.008317
19,24799.8,1.40697,0.73035,1.50551,0.94175,0.87124,0.9409,0.60173,1.323,0.72907,1.68651,0.008218,0.008218,0.008218
20,26168.1,1.40585,0.72013,1.50894,0.94027,0.88497,0.95036,0.61812,1.28927,0.67482,1.65558,0.008119,0.008119,0.008119
