epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1279.76,2.74074,2.3251,2.74656,0.49483,0.39786,0.42399,0.18814,2.07437,2.05165,2.44981,0.07001,0.00333222,0.00333222
2,2541.28,1.85272,1.43008,1.87864,0.66985,0.52421,0.60797,0.31374,1.8584,1.76307,2.16589,0.039944,0.00659957,0.00659957
3,3794.39,1.72019,1.26928,1.75226,0.81356,0.70063,0.8081,0.47119,1.55391,1.30409,1.9294,0.009812,0.00980091,0.00980091
4,5047.65,1.65904,1.1405,1.69735,0.84297,0.74105,0.83944,0.49934,1.5045,1.18577,1.86452,0.009703,0.009703,0.009703
5,6306.91,1.60336,1.03341,1.65144,0.87127,0.76813,0.87083,0.53195,1.45986,1.0579,1.82817,0.009604,0.009604,0.009604
6,7561.13,1.56702,0.96337,1.62324,0.90988,0.7968,0.89305,0.54135,1.44282,0.96069,1.80708,0.009505,0.009505,0.009505
7,8812.78,1.54124,0.91421,1.60699,0.924,0.80523,0.91027,0.56344,1.3975,0.89065,1.76856,0.009406,0.009406,0.009406
8,10072.5,1.5141,0.87848,1.58295,0.9072,0.81992,0.91346,0.56249,1.4213,0.89926,1.78552,0.009307,0.009307,0.009307
9,11330.5,1.49422,0.85103,1.5769,0.91641,0.80752,0.90364,0.56366,1.38252,0.92153,1.74591,0.009208,0.009208,0.009208
10,12590.7,1.47709,0.82447,1.55807,0.92273,0.81988,0.91744,0.58109,1.36006,0.83813,1.74117,0.009109,0.009109,0.009109
11,13853.8,1.47353,0.81286,1.55864,0.93125,0.84842,0.92744,0.58546,1.35111,0.80411,1.71769,0.00901,0.00901,0.00901
12,15116.4,1.45611,0.7897,1.54475,0.93738,0.84052,0.93206,0.58495,1.36176,0.79068,1.72533,0.008911,0.008911,0.008911
13,16379.4,1.44648,0.77669,1.5322,0.92037,0.83606,0.92171,0.58238,1.36943,0.79201,1.73788,0.008812,0.008812,0.008812
14,17642.4,1.43644,0.76074,1.52913,0.93483,0.85835,0.93447,0.59982,1.32484,0.76814,1.69879,0.008713,0.008713,0.008713
15,18905.8,1.43183,0.75293,1.52557,0.9365,0.8545,0.93329,0.59064,1.33476,0.77082,1.71823,0.008614,0.008614,0.008614
16,20174.6,1.41534,0.73931,1.51158,0.9344,0.85377,0.93331,0.59414,1.32123,0.74602,1.70051,0.008515,0.008515,0.008515
17,21451.1,1.4069,0.73164,1.50526,0.93694,0.8644,0.9378,0.60292,1.31658,0.73347,1.68889,0.008416,0.008416,0.008416
18,22713.4,1.39834,0.72202,1.49865,0.94633,0.86859,0.94162,0.59801,1.32835,0.71265,1.68875,0.008317,0.008317,0.008317
19,23978.4,1.39568,0.71357,1.50095,0.94686,0.86268,0.9432,0.60786,1.29468,0.70556,1.66279,0.008218,0.008218,0.008218
20,25241.2,1.38916,0.70258,1.49324,0.94632,0.87276,0.94807,0.62333,1.26886,0.68684,1.65286,0.008119,0.008119,0.008119
21,26540,1.37738,0.69678,1.49062,0.94599,0.88184,0.95125,0.62253,1.28173,0.66965,1.65611,0.00802,0.00802,0.00802
22,27837.2,1.37854,0.69316,1.48145,0.94233,0.87726,0.94584,0.61603,1.28553,0.67778,1.6668,0.007921,0.007921,0.007921
23,29141.4,1.37226,0.68534,1.48498,0.95855,0.8663,0.94636,0.60807,1.29779,0.67499,1.66471,0.007822,0.007822,0.007822
24,30422,1.35563,0.67377,1.46828,0.94899,0.86507,0.946,0.62016,1.26224,0.66646,1.64199,0.007723,0.007723,0.007723
25,31744.5,1.35988,0.67583,1.47278,0.95535,0.87365,0.94902,0.62566,1.2605,0.66035,1.63845,0.007624,0.007624,0.007624
26,33195.3,1.35064,0.66831,1.46174,0.94956,0.87762,0.94871,0.62059,1.266,0.67059,1.6426,0.007525,0.007525,0.007525
27,34648.5,1.34821,0.66389,1.46178,0.94803,0.88115,0.95092,0.61876,1.28362,0.65838,1.65355,0.007426,0.007426,0.007426
28,36054.1,1.35,0.66414,1.46623,0.9523,0.87931,0.95035,0.62322,1.2666,0.65361,1.64529,0.007327,0.007327,0.007327
