epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2038.73,3.08513,2.66444,2.86188,0.55486,0.43556,0.4714,0.19164,2.08409,2.0477,2.44442,0.07001,0.00333222,0.00333222
2,4122.87,1.90562,1.46437,1.92198,0.76866,0.62551,0.72773,0.37064,1.75614,1.53681,2.08931,0.039944,0.00659957,0.00659957
3,6225.39,1.74806,1.28685,1.77481,0.79244,0.66875,0.77732,0.44538,1.60571,1.40866,1.94593,0.009812,0.00980091,0.00980091
4,8314.8,1.67759,1.14971,1.71488,0.86611,0.74536,0.85335,0.49982,1.52365,1.1737,1.86276,0.009703,0.009703,0.009703
5,10386.1,1.62098,1.03877,1.66561,0.88799,0.78019,0.8767,0.53006,1.47606,1.03584,1.82745,0.009604,0.009604,0.009604
6,12467,1.5841,0.96926,1.63945,0.89949,0.78372,0.88732,0.55082,1.40861,0.98748,1.78398,0.009505,0.009505,0.009505
7,14550.3,1.5602,0.92718,1.62534,0.91429,0.80692,0.90574,0.56659,1.40295,0.91216,1.75595,0.009406,0.009406,0.009406
8,16674.6,1.52807,0.88916,1.59901,0.90791,0.82768,0.91137,0.57441,1.38218,0.88968,1.74714,0.009307,0.009307,0.009307
9,18778.1,1.51286,0.86018,1.5828,0.92115,0.82113,0.9094,0.57028,1.40468,0.88038,1.75032,0.009208,0.009208,0.009208
10,20894,1.49954,0.84118,1.5749,0.91911,0.8198,0.9122,0.57243,1.38336,0.86231,1.73988,0.009109,0.009109,0.009109
11,23000,1.48227,0.8143,1.55961,0.93347,0.81089,0.91571,0.59151,1.32731,0.82807,1.7036,0.00901,0.00901,0.00901
12,25103.7,1.47199,0.79514,1.55324,0.88746,0.83494,0.91801,0.59325,1.32502,0.80993,1.69052,0.008911,0.008911,0.008911
13,27173.2,1.45819,0.7811,1.54274,0.92279,0.83493,0.91804,0.58221,1.35504,0.79194,1.72218,0.008812,0.008812,0.008812
14,29272.4,1.44351,0.76633,1.53561,0.9338,0.8363,0.9242,0.59072,1.32171,0.78123,1.68975,0.008713,0.008713,0.008713
15,31395.4,1.42991,0.74591,1.52678,0.93353,0.84754,0.92756,0.58107,1.36742,0.77257,1.72316,0.008614,0.008614,0.008614
16,33536.1,1.42884,0.74624,1.52202,0.93448,0.84187,0.92569,0.58668,1.32971,0.77058,1.69819,0.008515,0.008515,0.008515
17,35620.4,1.41737,0.73184,1.51431,0.94677,0.85341,0.93817,0.60065,1.32629,0.72719,1.68891,0.008416,0.008416,0.008416
18,37709.2,1.41154,0.73012,1.51152,0.94187,0.86648,0.93773,0.5983,1.32164,0.72496,1.67887,0.008317,0.008317,0.008317
19,39840.3,1.40113,0.71588,1.50345,0.94578,0.85727,0.94272,0.60332,1.31765,0.70792,1.67485,0.008218,0.008218,0.008218
20,41955.1,1.39683,0.7097,1.50459,0.94282,0.86365,0.93854,0.60821,1.29541,0.70836,1.67564,0.008119,0.008119,0.008119
21,44048.2,1.3901,0.70506,1.49625,0.94411,0.86365,0.9409,0.60651,1.30924,0.70616,1.68323,0.00802,0.00802,0.00802
22,46143.8,1.38582,0.69823,1.49403,0.94996,0.8669,0.94556,0.61442,1.30398,0.68151,1.67225,0.007921,0.007921,0.007921
23,48228.9,1.38171,0.69325,1.48625,0.94843,0.86365,0.94338,0.59941,1.31334,0.69451,1.6723,0.007822,0.007822,0.007822
24,50300.4,1.37933,0.68761,1.48604,0.94541,0.85948,0.94128,0.61006,1.29017,0.68562,1.66037,0.007723,0.007723,0.007723
25,52352.9,1.36813,0.68708,1.47536,0.93084,0.87055,0.9426,0.60589,1.30104,0.68731,1.67609,0.007624,0.007624,0.007624
26,54389.8,1.37483,0.67769,1.47847,0.9433,0.87377,0.94349,0.60849,1.30557,0.67174,1.67455,0.007525,0.007525,0.007525
27,56462.3,1.36715,0.67344,1.47262,0.93873,0.87112,0.94481,0.59989,1.3218,0.67498,1.68666,0.007426,0.007426,0.007426
28,58515.7,1.36366,0.66979,1.47616,0.94976,0.87642,0.94896,0.6089,1.30285,0.63912,1.67504,0.007327,0.007327,0.007327
29,60603.5,1.35645,0.66426,1.47176,0.95154,0.87991,0.95045,0.61343,1.29326,0.64638,1.66357,0.007228,0.007228,0.007228
30,62652.4,1.35409,0.66169,1.46536,0.9455,0.88189,0.95334,0.62363,1.26044,0.62563,1.63979,0.007129,0.007129,0.007129
31,64724.9,1.34686,0.65809,1.4632,0.95536,0.87642,0.95005,0.6158,1.28233,0.63593,1.65204,0.00703,0.00703,0.00703
32,66808,1.34428,0.6529,1.4592,0.94143,0.8752,0.94708,0.61312,1.28023,0.64408,1.65329,0.006931,0.006931,0.006931
33,68875.4,1.3402,0.64976,1.45601,0.95178,0.87261,0.94846,0.61049,1.28969,0.64231,1.66047,0.006832,0.006832,0.006832
34,70931,1.33843,0.64701,1.45104,0.95075,0.88437,0.95135,0.61824,1.27466,0.6227,1.64937,0.006733,0.006733,0.006733
35,73014.5,1.33126,0.64493,1.44912,0.95447,0.88376,0.95206,0.61743,1.27372,0.62506,1.64986,0.006634,0.006634,0.006634
36,75102.2,1.33038,0.64254,1.45047,0.94942,0.88653,0.95087,0.60611,1.30927,0.63047,1.67795,0.006535,0.006535,0.006535
37,77168.8,1.32999,0.64152,1.45063,0.94983,0.88352,0.95051,0.62006,1.27474,0.61978,1.65158,0.006436,0.006436,0.006436
