epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2859.47,3.3151,2.96551,3.27582,0.34204,0.36148,0.29436,0.10686,2.27218,2.38379,2.69844,0.07001,0.00333222,0.00333222
2,5675.99,1.971,1.52831,1.98286,0.75896,0.61949,0.71775,0.34661,1.81707,1.55871,2.15637,0.039944,0.00659957,0.00659957
3,8505.18,1.75864,1.2859,1.7857,0.79857,0.6849,0.78629,0.44308,1.60557,1.28848,1.97535,0.009812,0.00980091,0.00980091
4,11319.7,1.68461,1.14127,1.72358,0.80341,0.74034,0.818,0.45498,1.58861,1.29011,1.92476,0.009703,0.009703,0.009703
5,14131.4,1.62564,1.04147,1.67046,0.87619,0.72994,0.84123,0.49474,1.53701,1.10245,1.89201,0.009604,0.009604,0.009604
6,16972,1.58569,0.97223,1.64243,0.85292,0.72648,0.83109,0.47891,1.5912,1.10676,1.91147,0.009505,0.009505,0.009505
7,19857.3,1.55848,0.9268,1.62467,0.91211,0.80631,0.90199,0.56703,1.40528,0.91463,1.76728,0.009406,0.009406,0.009406
8,22725.6,1.52933,0.88295,1.59987,0.91164,0.82161,0.91294,0.56955,1.38541,0.84631,1.76383,0.009307,0.009307,0.009307
9,25570.6,1.51322,0.85409,1.58352,0.91248,0.80884,0.90337,0.56071,1.40322,0.8797,1.76072,0.009208,0.009208,0.009208
10,28464.2,1.50455,0.83826,1.57741,0.9169,0.8054,0.89861,0.56771,1.36213,0.88905,1.73876,0.009109,0.009109,0.009109
11,31292,1.48494,0.81059,1.56296,0.924,0.84004,0.92384,0.59262,1.33138,0.80063,1.70678,0.00901,0.00901,0.00901
12,34118,1.4726,0.79772,1.55328,0.89489,0.81321,0.901,0.55509,1.42226,0.85156,1.76826,0.008911,0.008911,0.008911
13,37008,1.4605,0.78469,1.54483,0.92381,0.82354,0.91796,0.58442,1.35348,0.80933,1.71943,0.008812,0.008812,0.008812
14,39870,1.44211,0.76718,1.53575,0.92652,0.8278,0.92257,0.59119,1.32429,0.76846,1.7008,0.008713,0.008713,0.008713
15,42737,1.42817,0.74871,1.52802,0.9314,0.82757,0.91715,0.57535,1.35789,0.79655,1.72925,0.008614,0.008614,0.008614
16,45613.2,1.42781,0.75407,1.52252,0.92043,0.83461,0.91749,0.58666,1.32067,0.76228,1.69414,0.008515,0.008515,0.008515
17,48400.4,1.41907,0.74063,1.51583,0.9305,0.84659,0.92823,0.58963,1.32752,0.76272,1.69699,0.008416,0.008416,0.008416
18,51197.2,1.41474,0.73138,1.515,0.93971,0.84919,0.9297,0.59518,1.31853,0.75153,1.69404,0.008317,0.008317,0.008317
19,54011.3,1.40635,0.72273,1.50491,0.94317,0.8681,0.94305,0.59081,1.35168,0.70149,1.71071,0.008218,0.008218,0.008218
20,56793,1.40029,0.71241,1.50707,0.93275,0.85883,0.93403,0.58892,1.34207,0.73163,1.70896,0.008119,0.008119,0.008119
21,59608.9,1.39578,0.71057,1.50085,0.94759,0.86888,0.9453,0.59939,1.32414,0.68999,1.69538,0.00802,0.00802,0.00802
22,62388.8,1.39524,0.70564,1.4992,0.94021,0.8622,0.94075,0.60243,1.30484,0.69705,1.68201,0.007921,0.007921,0.007921
23,65216.2,1.38141,0.69878,1.48788,0.94514,0.87362,0.94181,0.60017,1.32217,0.70444,1.68244,0.007822,0.007822,0.007822
