epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2353.13,2.92392,2.45264,2.84308,0.35504,0.36449,0.29447,0.1186,2.10627,2.25262,2.51542,0.07001,0.00333222,0.00333222
2,4809.73,1.88024,1.44617,1.90754,0.77587,0.64346,0.74044,0.37357,1.72429,1.48245,2.08122,0.039944,0.00659957,0.00659957
3,7245.22,1.73437,1.26384,1.76416,0.75865,0.71236,0.7819,0.45665,1.56696,1.30256,1.93184,0.009812,0.00980091,0.00980091
4,9686.81,1.66485,1.12888,1.70691,0.83614,0.71802,0.81802,0.46523,1.59188,1.21354,1.92946,0.009703,0.009703,0.009703
5,12121.6,1.6026,1.02756,1.65386,0.83183,0.68815,0.79814,0.45372,1.60047,1.20198,1.93158,0.009604,0.009604,0.009604
6,14597.2,1.56605,0.95958,1.62872,0.86893,0.75625,0.85718,0.49544,1.53898,1.053,1.88072,0.009505,0.009505,0.009505
7,17083.3,1.53808,0.90995,1.60999,0.90379,0.81807,0.9082,0.55402,1.41188,0.89693,1.7697,0.009406,0.009406,0.009406
8,19568.9,1.50618,0.86721,1.58382,0.90839,0.83763,0.91789,0.56837,1.40196,0.84931,1.77303,0.009307,0.009307,0.009307
9,22043,1.48971,0.84048,1.56694,0.90904,0.83907,0.91961,0.57236,1.37738,0.85612,1.73772,0.009208,0.009208,0.009208
10,24495.9,1.48318,0.82268,1.56311,0.89676,0.8092,0.8997,0.54783,1.43566,0.87568,1.77853,0.009109,0.009109,0.009109
11,26977.5,1.463,0.79512,1.54848,0.89714,0.83629,0.91864,0.56194,1.40416,0.82857,1.76344,0.00901,0.00901,0.00901
12,29435.4,1.45086,0.77921,1.5386,0.9173,0.85907,0.93523,0.59537,1.31443,0.76621,1.68604,0.008911,0.008911,0.008911
13,31934.3,1.44034,0.76484,1.53113,0.9222,0.85524,0.93077,0.58234,1.35084,0.77421,1.71423,0.008812,0.008812,0.008812
14,34407.9,1.42334,0.74672,1.52223,0.91887,0.84723,0.92934,0.57781,1.37797,0.75599,1.72999,0.008713,0.008713,0.008713
15,36912,1.41341,0.73085,1.51518,0.92962,0.85594,0.93162,0.58771,1.34528,0.7425,1.71123,0.008614,0.008614,0.008614
16,39388,1.41075,0.73339,1.51005,0.93067,0.84084,0.92129,0.58061,1.34554,0.78447,1.71033,0.008515,0.008515,0.008515
17,41883.6,1.40319,0.71889,1.50423,0.93266,0.86967,0.94181,0.59505,1.33417,0.71485,1.70035,0.008416,0.008416,0.008416
18,44325.5,1.39794,0.71475,1.5018,0.94372,0.85305,0.9325,0.5838,1.34052,0.75643,1.70115,0.008317,0.008317,0.008317
19,46758.8,1.38731,0.70175,1.49206,0.94775,0.88208,0.95163,0.60681,1.31191,0.67646,1.67803,0.008218,0.008218,0.008218
20,49219.8,1.38174,0.69511,1.49278,0.94251,0.87288,0.94164,0.60019,1.31098,0.69778,1.67956,0.008119,0.008119,0.008119
21,51676.9,1.37452,0.69129,1.48577,0.93889,0.87717,0.94641,0.60252,1.30582,0.68768,1.67584,0.00802,0.00802,0.00802
22,54157.2,1.37469,0.68712,1.48373,0.94611,0.87943,0.94675,0.59986,1.32223,0.67875,1.68301,0.007921,0.007921,0.007921
23,56556.1,1.36596,0.6831,1.47445,0.94887,0.85609,0.93956,0.59994,1.31465,0.69981,1.67293,0.007822,0.007822,0.007822
24,58966.1,1.36613,0.67514,1.47524,0.94622,0.87741,0.94939,0.6077,1.306,0.66524,1.66853,0.007723,0.007723,0.007723
25,61383.4,1.3525,0.67003,1.4628,0.94882,0.8716,0.94721,0.61538,1.27267,0.66155,1.6522,0.007624,0.007624,0.007624
26,63827,1.35886,0.66876,1.46612,0.94577,0.87594,0.94618,0.60111,1.31273,0.67437,1.68244,0.007525,0.007525,0.007525
27,66254.8,1.35348,0.66366,1.46283,0.93724,0.88485,0.95082,0.59649,1.34291,0.66257,1.7002,0.007426,0.007426,0.007426
28,68685.7,1.34551,0.65803,1.46369,0.95124,0.88473,0.95103,0.611,1.29721,0.64666,1.66239,0.007327,0.007327,0.007327
