epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1114.14,3.3046,2.97962,3.07753,0.46298,0.39376,0.40042,0.16063,2.17597,2.22239,2.55223,0.07001,0.00333222,0.00333222
2,2196.32,1.96822,1.55474,1.97607,0.6562,0.59142,0.65266,0.3331,1.7711,1.63389,2.1071,0.039944,0.00659957,0.00659957
3,3389.17,1.77556,1.33706,1.80031,0.82032,0.73151,0.82237,0.46068,1.62564,1.29398,1.98089,0.009812,0.00980091,0.00980091
4,4538.5,1.6955,1.18558,1.72924,0.76361,0.70128,0.78268,0.46005,1.55143,1.26232,1.91396,0.009703,0.009703,0.009703
5,5623.37,1.62678,1.06244,1.67212,0.82052,0.71754,0.81009,0.48438,1.54167,1.17268,1.88287,0.009604,0.009604,0.009604
6,6703.37,1.58184,0.98412,1.63553,0.8697,0.74772,0.84748,0.49814,1.55016,1.09782,1.87183,0.009505,0.009505,0.009505
7,7843.18,1.55798,0.93798,1.62163,0.90468,0.79378,0.89126,0.5357,1.4666,0.97298,1.81286,0.009406,0.009406,0.009406
8,9041.97,1.53587,0.89828,1.59873,0.92469,0.82619,0.91168,0.56125,1.40395,0.89116,1.76883,0.009307,0.009307,0.009307
9,10194.9,1.52008,0.87439,1.59328,0.8987,0.81004,0.89481,0.55328,1.40644,0.92684,1.76056,0.009208,0.009208,0.009208
10,11345.2,1.49583,0.84377,1.57179,0.92792,0.83264,0.91608,0.58528,1.37249,0.87169,1.74398,0.009109,0.009109,0.009109
11,12422.5,1.48901,0.8321,1.57149,0.93586,0.82957,0.92411,0.58695,1.35629,0.82819,1.72352,0.00901,0.00901,0.00901
12,13495.3,1.4783,0.81067,1.55906,0.93455,0.84413,0.92412,0.58399,1.37703,0.8172,1.73423,0.008911,0.008911,0.008911
13,14572.6,1.46513,0.79391,1.54391,0.93395,0.85076,0.92878,0.60122,1.35016,0.78521,1.71026,0.008812,0.008812,0.008812
14,15646.3,1.44931,0.7828,1.53886,0.93699,0.84546,0.92951,0.60823,1.3307,0.78533,1.68869,0.008713,0.008713,0.008713
15,16721.9,1.44809,0.77157,1.53647,0.93474,0.8522,0.93079,0.59152,1.36447,0.77042,1.72111,0.008614,0.008614,0.008614
16,17797.8,1.43445,0.76142,1.52518,0.93654,0.84611,0.93042,0.58526,1.35013,0.76311,1.71502,0.008515,0.008515,0.008515
17,18874.8,1.42789,0.75052,1.51782,0.9287,0.84566,0.92641,0.59477,1.33708,0.77236,1.70138,0.008416,0.008416,0.008416
18,19960.4,1.41788,0.73766,1.51063,0.94352,0.85918,0.93513,0.59095,1.35683,0.74264,1.71321,0.008317,0.008317,0.008317
19,21038.8,1.41438,0.73182,1.5136,0.94441,0.86654,0.94349,0.61406,1.30335,0.70751,1.67156,0.008218,0.008218,0.008218
20,22117.6,1.40606,0.72431,1.50431,0.94263,0.85895,0.93588,0.60225,1.32895,0.73234,1.69585,0.008119,0.008119,0.008119
21,23203,1.3948,0.71372,1.50137,0.94371,0.86859,0.94464,0.61828,1.29505,0.69134,1.664,0.00802,0.00802,0.00802
22,24285.2,1.39619,0.71,1.49324,0.94312,0.8728,0.93986,0.61249,1.29422,0.70432,1.66823,0.007921,0.007921,0.007921
23,25365,1.39171,0.7049,1.49675,0.94223,0.87714,0.94445,0.59779,1.34013,0.69223,1.70126,0.007822,0.007822,0.007822
24,26436.6,1.37236,0.69405,1.48084,0.95563,0.87169,0.94715,0.62355,1.2793,0.6681,1.65273,0.007723,0.007723,0.007723
25,27509.3,1.37595,0.69304,1.48538,0.94866,0.87786,0.94776,0.61581,1.30481,0.67518,1.67017,0.007624,0.007624,0.007624
26,28579.9,1.36809,0.68693,1.4743,0.95615,0.87389,0.94589,0.621,1.27594,0.66779,1.6565,0.007525,0.007525,0.007525
27,29651,1.36788,0.67992,1.47562,0.95791,0.8745,0.94875,0.61785,1.29587,0.65996,1.66212,0.007426,0.007426,0.007426
28,30726,1.36809,0.68012,1.47929,0.94819,0.88196,0.94741,0.62647,1.27894,0.66868,1.65296,0.007327,0.007327,0.007327
29,31797.8,1.35957,0.67393,1.47614,0.94466,0.87999,0.94825,0.62571,1.27408,0.66395,1.64857,0.007228,0.007228,0.007228
30,32906.2,1.356,0.66964,1.4699,0.95118,0.88473,0.95221,0.62305,1.27777,0.64727,1.64512,0.007129,0.007129,0.007129
31,34102.9,1.35309,0.6647,1.46864,0.95701,0.87425,0.94427,0.62512,1.25002,0.65348,1.63132,0.00703,0.00703,0.00703
32,35312.9,1.34604,0.66007,1.45682,0.95758,0.88593,0.95066,0.62502,1.27159,0.64424,1.65162,0.006931,0.006931,0.006931
33,36495.5,1.34195,0.6568,1.45479,0.95646,0.88593,0.95007,0.6232,1.26524,0.63158,1.63859,0.006832,0.006832,0.006832
34,37639.9,1.3436,0.65518,1.46145,0.95557,0.89113,0.95394,0.62473,1.28114,0.62225,1.64908,0.006733,0.006733,0.006733
35,38764.3,1.34361,0.64981,1.45861,0.9562,0.88557,0.94989,0.62478,1.26767,0.63123,1.64252,0.006634,0.006634,0.006634
36,39851.8,1.33368,0.65278,1.45192,0.95405,0.88793,0.95274,0.6249,1.26342,0.62831,1.64058,0.006535,0.006535,0.006535
37,40951.7,1.32829,0.64682,1.44987,0.95566,0.88991,0.95046,0.63191,1.23865,0.62117,1.6243,0.006436,0.006436,0.006436
38,42039.1,1.33379,0.64385,1.45014,0.95237,0.88942,0.95309,0.62821,1.26027,0.62861,1.64002,0.006337,0.006337,0.006337
39,43116.1,1.32138,0.63616,1.43807,0.95548,0.88714,0.95359,0.62888,1.26025,0.62496,1.64018,0.006238,0.006238,0.006238
40,44164.9,1.32337,0.63672,1.44166,0.9581,0.88665,0.95497,0.63495,1.24479,0.61583,1.62448,0.006139,0.006139,0.006139
41,45215.9,1.31358,0.63046,1.4334,0.95991,0.89114,0.9546,0.63455,1.24291,0.61106,1.62338,0.00604,0.00604,0.00604
42,46261.5,1.31053,0.62875,1.44,0.95938,0.89321,0.95491,0.6317,1.25637,0.61216,1.63016,0.005941,0.005941,0.005941
43,47310.1,1.31676,0.62818,1.43563,0.96116,0.89304,0.95779,0.63628,1.24233,0.60103,1.61894,0.005842,0.005842,0.005842
44,48359,1.30918,0.62744,1.4342,0.95481,0.89509,0.95797,0.63261,1.25286,0.5982,1.63043,0.005743,0.005743,0.005743
45,49407.6,1.30474,0.62284,1.42978,0.9621,0.89286,0.95526,0.63352,1.24651,0.59523,1.62815,0.005644,0.005644,0.005644
46,50456.8,1.30957,0.62145,1.43157,0.9608,0.89448,0.9566,0.63406,1.24624,0.5917,1.62902,0.005545,0.005545,0.005545
47,51512.3,1.30136,0.61471,1.43215,0.95924,0.89862,0.95845,0.6366,1.24304,0.5855,1.62399,0.005446,0.005446,0.005446
48,52565,1.29731,0.6128,1.42055,0.96176,0.89665,0.95929,0.64207,1.23099,0.586,1.61373,0.005347,0.005347,0.005347
49,53613.4,1.29991,0.61398,1.42407,0.96173,0.89774,0.96023,0.63518,1.2503,0.58827,1.62964,0.005248,0.005248,0.005248
50,54665.4,1.2994,0.61441,1.42336,0.96433,0.89546,0.95931,0.6336,1.2468,0.58652,1.63043,0.005149,0.005149,0.005149
51,55716.5,1.29089,0.61109,1.42232,0.96514,0.89195,0.95836,0.63742,1.23846,0.58965,1.621,0.00505,0.00505,0.00505
52,56763.8,1.2846,0.60459,1.41467,0.96324,0.89159,0.95669,0.63601,1.24709,0.58943,1.62663,0.004951,0.004951,0.004951
53,57812.5,1.28696,0.60809,1.41412,0.96196,0.89553,0.95908,0.6365,1.24736,0.58434,1.62624,0.004852,0.004852,0.004852
54,58861.3,1.28923,0.60655,1.41286,0.96215,0.89232,0.95839,0.641,1.23791,0.5843,1.62066,0.004753,0.004753,0.004753
55,59910.4,1.28974,0.6055,1.41494,0.96158,0.89521,0.95869,0.63978,1.23448,0.58028,1.61869,0.004654,0.004654,0.004654
56,60959.9,1.27604,0.59805,1.40476,0.96307,0.89531,0.95889,0.64093,1.2297,0.57887,1.61656,0.004555,0.004555,0.004555
57,62010.3,1.28043,0.59771,1.41248,0.96039,0.89641,0.95894,0.6419,1.22687,0.58006,1.61427,0.004456,0.004456,0.004456
58,63060.7,1.27238,0.59403,1.40638,0.96014,0.89472,0.95806,0.64198,1.22241,0.58115,1.60904,0.004357,0.004357,0.004357
59,64110.4,1.26819,0.59283,1.40441,0.95936,0.89847,0.96002,0.64508,1.22031,0.57717,1.60644,0.004258,0.004258,0.004258
60,65174.2,1.26862,0.58943,1.40222,0.961,0.89943,0.96146,0.6456,1.22324,0.57536,1.60832,0.004159,0.004159,0.004159
61,66226.7,1.26721,0.59116,1.40116,0.96391,0.8981,0.9623,0.64442,1.22762,0.57312,1.61178,0.00406,0.00406,0.00406
62,67279.1,1.25527,0.58194,1.39512,0.96324,0.89635,0.96127,0.64352,1.23313,0.57308,1.61723,0.003961,0.003961,0.003961
63,68328.3,1.25948,0.58332,1.39436,0.96048,0.89878,0.96123,0.64266,1.23371,0.57152,1.61943,0.003862,0.003862,0.003862
64,69379,1.26052,0.58041,1.39128,0.96155,0.89906,0.9611,0.64145,1.23533,0.5706,1.62125,0.003763,0.003763,0.003763
65,70428.7,1.25889,0.58281,1.39262,0.96285,0.89737,0.96112,0.64138,1.23407,0.57246,1.62041,0.003664,0.003664,0.003664
66,71479.4,1.24985,0.57923,1.38925,0.9641,0.89601,0.96101,0.64214,1.22943,0.57165,1.6166,0.003565,0.003565,0.003565
67,72529.4,1.25269,0.57693,1.38786,0.96236,0.89622,0.96085,0.64321,1.22751,0.57104,1.61461,0.003466,0.003466,0.003466
68,73579.7,1.24361,0.5731,1.38946,0.96505,0.89474,0.96092,0.64305,1.22948,0.57067,1.61666,0.003367,0.003367,0.003367
69,74629,1.2514,0.5793,1.387,0.96339,0.89569,0.96097,0.64219,1.23118,0.57024,1.61868,0.003268,0.003268,0.003268
70,75679.3,1.25071,0.57845,1.38744,0.96481,0.89487,0.96078,0.64194,1.22896,0.5699,1.617,0.003169,0.003169,0.003169
71,76730,1.24127,0.56766,1.3827,0.96481,0.89605,0.96098,0.64227,1.22699,0.56826,1.61511,0.00307,0.00307,0.00307
72,77782.6,1.24133,0.56924,1.3825,0.96538,0.89701,0.96114,0.64274,1.22576,0.56738,1.61427,0.002971,0.002971,0.002971
73,78833.9,1.23128,0.56496,1.37903,0.96614,0.89713,0.96109,0.64245,1.22576,0.56698,1.61424,0.002872,0.002872,0.002872
74,79905.7,1.23857,0.56438,1.38106,0.96599,0.89629,0.96053,0.64283,1.22481,0.5668,1.61318,0.002773,0.002773,0.002773
75,80990.3,1.23494,0.55986,1.3785,0.96587,0.89642,0.96071,0.64286,1.2243,0.56629,1.61276,0.002674,0.002674,0.002674
76,82075.5,1.2293,0.55601,1.37179,0.96616,0.89689,0.96059,0.64277,1.22353,0.56552,1.61148,0.002575,0.002575,0.002575
77,83176.7,1.23218,0.56039,1.37091,0.96465,0.89744,0.96014,0.64339,1.22301,0.56404,1.61114,0.002476,0.002476,0.002476
78,84258.9,1.23291,0.55552,1.36918,0.96449,0.89762,0.96014,0.64376,1.2222,0.56329,1.61057,0.002377,0.002377,0.002377
79,85333.5,1.22853,0.55747,1.37071,0.96491,0.89762,0.96042,0.64435,1.22217,0.56261,1.61063,0.002278,0.002278,0.002278
80,86400,1.22904,0.55499,1.37305,0.96518,0.89813,0.96047,0.64437,1.22243,0.56216,1.61089,0.002179,0.002179,0.002179
81,87468.7,1.22337,0.55164,1.36814,0.96559,0.89906,0.96058,0.64435,1.22277,0.56185,1.61135,0.00208,0.00208,0.00208
82,88549.7,1.21547,0.54844,1.36035,0.96529,0.89906,0.96048,0.64441,1.22359,0.56123,1.61219,0.001981,0.001981,0.001981
83,89689.5,1.21662,0.5487,1.36443,0.96599,0.89882,0.96048,0.64411,1.22388,0.5605,1.61267,0.001882,0.001882,0.001882
84,90835.4,1.21369,0.54754,1.36397,0.96559,0.89916,0.96033,0.64412,1.22376,0.56007,1.61278,0.001783,0.001783,0.001783
85,91962.5,1.21107,0.54782,1.35954,0.96631,0.89817,0.96028,0.64491,1.22327,0.56001,1.6123,0.001684,0.001684,0.001684
86,93082.8,1.20957,0.54783,1.35734,0.96702,0.89715,0.9601,0.64483,1.22336,0.56003,1.61272,0.001585,0.001585,0.001585
87,94205.1,1.20639,0.54259,1.35484,0.9674,0.89727,0.96014,0.64459,1.22364,0.56025,1.61307,0.001486,0.001486,0.001486
88,95329.5,1.20228,0.54169,1.36027,0.96621,0.89713,0.95957,0.64437,1.22401,0.56065,1.61356,0.001387,0.001387,0.001387
89,96448.9,1.19954,0.54219,1.35183,0.96552,0.89712,0.95937,0.64445,1.22397,0.56066,1.61394,0.001288,0.001288,0.001288
90,97568.6,1.19634,0.53515,1.34688,0.96565,0.89733,0.95901,0.6441,1.22412,0.56047,1.61403,0.001189,0.001189,0.001189
91,98658,1.16144,0.50004,1.40076,0.9661,0.89597,0.95876,0.64416,1.22444,0.56047,1.61404,0.00109,0.00109,0.00109
92,99746.9,1.15473,0.4952,1.39522,0.96514,0.89711,0.95878,0.64442,1.22412,0.5602,1.61364,0.000991,0.000991,0.000991
93,100834,1.14337,0.4905,1.38914,0.96391,0.89786,0.95861,0.64437,1.22423,0.56028,1.61349,0.000892,0.000892,0.000892
