epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1133.07,3.22374,2.92089,3.10226,0.51446,0.4046,0.42993,0.16671,2.1883,2.20289,2.57895,0.07001,0.00333222,0.00333222
2,2253.44,1.95123,1.49352,1.95975,0.77891,0.63623,0.73346,0.39177,1.69327,1.52856,2.04831,0.039944,0.00659957,0.00659957
3,3341.17,1.75991,1.3176,1.78394,0.81443,0.71471,0.81564,0.45619,1.57445,1.39929,1.95745,0.009812,0.00980091,0.00980091
4,4406.15,1.68346,1.16372,1.71818,0.80774,0.68419,0.79194,0.46302,1.57518,1.27962,1.90484,0.009703,0.009703,0.009703
5,5454.96,1.61473,1.04736,1.66404,0.83565,0.70585,0.80863,0.4611,1.54533,1.23626,1.87068,0.009604,0.009604,0.009604
6,6499.61,1.57625,0.97708,1.63307,0.87168,0.7662,0.87005,0.52362,1.49786,1.02388,1.82351,0.009505,0.009505,0.009505
7,7544.22,1.55092,0.92415,1.61769,0.90083,0.78562,0.88781,0.53127,1.47623,0.95856,1.80847,0.009406,0.009406,0.009406
8,8592.72,1.528,0.89253,1.59375,0.90486,0.7968,0.89697,0.5539,1.40844,0.92406,1.76251,0.009307,0.009307,0.009307
9,9643.36,1.51011,0.86625,1.58687,0.89182,0.80077,0.89576,0.54738,1.42558,0.90982,1.76399,0.009208,0.009208,0.009208
10,10691.2,1.48949,0.83387,1.56902,0.91278,0.81807,0.90746,0.57092,1.38782,0.87774,1.74746,0.009109,0.009109,0.009109
11,11739,1.48309,0.81871,1.56809,0.92526,0.83474,0.92499,0.58058,1.37675,0.81268,1.73429,0.00901,0.00901,0.00901
12,12785.9,1.4654,0.80086,1.55284,0.91596,0.83414,0.91937,0.57332,1.37954,0.82488,1.73496,0.008911,0.008911,0.008911
13,13833.8,1.45644,0.78432,1.53907,0.91884,0.84141,0.92281,0.58825,1.3373,0.80984,1.71106,0.008812,0.008812,0.008812
14,14882.5,1.44107,0.77019,1.53303,0.93333,0.84474,0.9291,0.5932,1.34433,0.77838,1.70802,0.008713,0.008713,0.008713
15,15937.5,1.4374,0.76106,1.53015,0.931,0.84506,0.92697,0.575,1.37223,0.78203,1.73574,0.008614,0.008614,0.008614
16,17018.4,1.4301,0.75345,1.52226,0.93316,0.85592,0.9328,0.57862,1.38781,0.75107,1.74361,0.008515,0.008515,0.008515
17,18102.1,1.42047,0.74175,1.51349,0.93646,0.86278,0.9382,0.60098,1.32026,0.71816,1.69073,0.008416,0.008416,0.008416
18,19174.8,1.41446,0.73304,1.50794,0.9478,0.8507,0.92954,0.58794,1.34558,0.75691,1.70264,0.008317,0.008317,0.008317
19,20266.8,1.411,0.72803,1.51016,0.9423,0.87051,0.94203,0.60155,1.32724,0.69991,1.68572,0.008218,0.008218,0.008218
20,21339.5,1.40239,0.71569,1.50208,0.94232,0.86588,0.93901,0.60258,1.3262,0.73064,1.68738,0.008119,0.008119,0.008119
21,22402.2,1.38999,0.7101,1.49858,0.94668,0.86405,0.93952,0.59615,1.34673,0.70531,1.70996,0.00802,0.00802,0.00802
22,23469.9,1.39264,0.70702,1.49085,0.9434,0.86726,0.9407,0.59894,1.33215,0.7097,1.69608,0.007921,0.007921,0.007921
23,24554.8,1.38692,0.69663,1.49409,0.94801,0.86094,0.9356,0.58671,1.35663,0.70954,1.71182,0.007822,0.007822,0.007822
24,25621.5,1.36626,0.68727,1.47547,0.9514,0.86003,0.94131,0.60272,1.30236,0.68744,1.67526,0.007723,0.007723,0.007723
25,26709,1.37212,0.6875,1.48225,0.94577,0.87075,0.94351,0.60847,1.29639,0.68011,1.66504,0.007624,0.007624,0.007624
26,27836.7,1.36452,0.6787,1.47075,0.95198,0.86027,0.94007,0.60535,1.29833,0.69444,1.6754,0.007525,0.007525,0.007525
27,28933.5,1.3608,0.67516,1.47129,0.94844,0.87527,0.94678,0.6193,1.27172,0.6584,1.64827,0.007426,0.007426,0.007426
28,30017.7,1.36315,0.67579,1.47566,0.94716,0.86574,0.9397,0.60873,1.29352,0.68106,1.66642,0.007327,0.007327,0.007327
29,31112,1.35724,0.67127,1.47491,0.94942,0.87148,0.94564,0.61647,1.29442,0.66943,1.66734,0.007228,0.007228,0.007228
30,32212.5,1.35166,0.66044,1.46545,0.95631,0.88039,0.94785,0.61186,1.29499,0.65478,1.66094,0.007129,0.007129,0.007129
31,33346.5,1.34753,0.65877,1.46355,0.9603,0.8683,0.93989,0.61637,1.26658,0.65558,1.64164,0.00703,0.00703,0.00703
32,34461.8,1.33924,0.66011,1.45244,0.95333,0.87352,0.94565,0.61414,1.27573,0.65117,1.65225,0.006931,0.006931,0.006931
33,35558.3,1.34056,0.65478,1.45276,0.95246,0.88123,0.94671,0.6129,1.26948,0.6402,1.64261,0.006832,0.006832,0.006832
34,36635.8,1.33889,0.64946,1.45662,0.95544,0.87569,0.94705,0.61041,1.29929,0.64455,1.66379,0.006733,0.006733,0.006733
35,37714.7,1.33767,0.64667,1.45365,0.95401,0.87693,0.94664,0.60968,1.29594,0.646,1.66646,0.006634,0.006634,0.006634
36,38792.8,1.33391,0.64877,1.44979,0.95291,0.88003,0.94998,0.60705,1.2957,0.63383,1.66648,0.006535,0.006535,0.006535
37,39872,1.32769,0.64373,1.44682,0.95686,0.88051,0.94839,0.61734,1.27053,0.62993,1.64467,0.006436,0.006436,0.006436
38,40943.8,1.33064,0.63886,1.44752,0.95845,0.88364,0.95075,0.61325,1.2856,0.63111,1.65273,0.006337,0.006337,0.006337
39,42026.5,1.31871,0.63191,1.43543,0.95527,0.88412,0.95125,0.61374,1.28353,0.62185,1.64986,0.006238,0.006238,0.006238
40,43096.2,1.31884,0.63274,1.43804,0.9553,0.88804,0.95246,0.61829,1.26504,0.61225,1.6367,0.006139,0.006139,0.006139
41,44166,1.30815,0.62428,1.43027,0.96042,0.88605,0.95133,0.61978,1.26849,0.61464,1.64485,0.00604,0.00604,0.00604
42,45238.4,1.30928,0.62669,1.43713,0.9548,0.88762,0.95223,0.61399,1.28076,0.6151,1.65039,0.005941,0.005941,0.005941
43,46311.9,1.31443,0.62593,1.43421,0.96113,0.88437,0.95332,0.62212,1.25895,0.61242,1.63569,0.005842,0.005842,0.005842
44,47376.9,1.30562,0.62234,1.43224,0.95621,0.89617,0.9567,0.60955,1.28761,0.60346,1.65953,0.005743,0.005743,0.005743
45,48450.4,1.29812,0.61691,1.42367,0.96023,0.89123,0.95349,0.61487,1.2787,0.60629,1.65335,0.005644,0.005644,0.005644
46,49516.8,1.30791,0.61865,1.43079,0.96052,0.88834,0.95283,0.61561,1.27027,0.60611,1.64588,0.005545,0.005545,0.005545
