epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.656,3.2091,3.00616,2.35539,0.43892,0.14193,0.10859,0.03883,2.50976,2.1816,1.95863,0.0700584,0.00332685,0.00332685
2,355.687,2.3616,1.95133,1.71299,0.22717,0.24217,0.19673,0.07655,2.21274,1.76268,1.6817,0.0400144,0.00661622,0.00661622
3,533.788,2.1498,1.69052,1.5606,0.31268,0.27008,0.24611,0.09937,2.10286,1.72405,1.58382,0.00992645,0.0098616,0.0098616
4,709.135,2.01004,1.52406,1.47309,0.60866,0.25952,0.27489,0.11334,2.03165,1.52805,1.52958,0.009802,0.009802,0.009802
5,886.825,1.91031,1.38374,1.40575,0.64844,0.34834,0.35165,0.15317,1.83598,1.34221,1.4036,0.009736,0.009736,0.009736
6,1064.14,1.84689,1.30707,1.36959,0.63815,0.3348,0.34961,0.1541,1.82221,1.3631,1.3885,0.00967,0.00967,0.00967
7,1241.15,1.79779,1.25328,1.33875,0.58172,0.32224,0.31118,0.13377,1.93583,1.47088,1.43883,0.009604,0.009604,0.009604
8,1417.79,1.75499,1.2009,1.31469,0.66032,0.35836,0.37069,0.16277,1.81472,1.34934,1.36418,0.009538,0.009538,0.009538
9,1593.92,1.72121,1.17272,1.29277,0.66661,0.36609,0.38027,0.17521,1.75378,1.29578,1.34454,0.009472,0.009472,0.009472
10,1770.26,1.68481,1.13591,1.26709,0.68005,0.36904,0.40325,0.18223,1.73354,1.21343,1.32014,0.009406,0.009406,0.009406
11,1945.99,1.67287,1.10962,1.25798,0.7268,0.40592,0.46511,0.21095,1.66761,1.14139,1.29049,0.00934,0.00934,0.00934
12,2122.27,1.65305,1.10414,1.25224,0.70544,0.37543,0.43341,0.20286,1.68926,1.17144,1.29997,0.009274,0.009274,0.009274
13,2297.86,1.63347,1.07777,1.2381,0.68778,0.38633,0.41873,0.19445,1.69207,1.20066,1.28649,0.009208,0.009208,0.009208
14,2472.87,1.62345,1.07192,1.23505,0.73327,0.40944,0.47386,0.22424,1.63503,1.12829,1.26487,0.009142,0.009142,0.009142
15,2648.43,1.60772,1.06121,1.22507,0.74025,0.43555,0.49848,0.2317,1.60081,1.0742,1.24485,0.009076,0.009076,0.009076
16,2823.64,1.59403,1.03873,1.20973,0.66336,0.43299,0.44125,0.20428,1.68669,1.20963,1.27729,0.00901,0.00901,0.00901
17,2998.57,1.59097,1.04166,1.20814,0.52713,0.55519,0.53107,0.25521,1.5636,1.02913,1.22848,0.008944,0.008944,0.008944
18,3173.49,1.58594,1.03216,1.20303,0.55739,0.45271,0.5386,0.25974,1.54525,1.0298,1.21725,0.008878,0.008878,0.008878
19,3348.84,1.56864,1.02656,1.19807,0.48539,0.4258,0.48121,0.22502,1.63445,1.12678,1.24706,0.008812,0.008812,0.008812
20,3524.22,1.56231,1.01755,1.18951,0.54841,0.47845,0.4779,0.23112,1.58184,1.07076,1.22387,0.008746,0.008746,0.008746
21,3699.3,1.55287,1.0038,1.18067,0.76463,0.44662,0.51379,0.24956,1.56314,1.04381,1.2161,0.00868,0.00868,0.00868
22,3874.26,1.54064,0.99852,1.17808,0.71965,0.46331,0.5267,0.24753,1.59537,1.06546,1.22469,0.008614,0.008614,0.008614
23,4048.59,1.53926,0.99162,1.18044,0.55209,0.48956,0.50642,0.23608,1.59187,1.07161,1.2213,0.008548,0.008548,0.008548
24,4222.84,1.53149,0.97981,1.16286,0.70421,0.51644,0.58576,0.2833,1.53564,1.00458,1.20285,0.008482,0.008482,0.008482
25,4396.89,1.52308,0.97349,1.16522,0.73467,0.52552,0.58471,0.2831,1.4969,0.96723,1.18088,0.008416,0.008416,0.008416
26,4571,1.51091,0.97349,1.16477,0.77667,0.47321,0.60538,0.28856,1.5163,0.99518,1.18758,0.00835,0.00835,0.00835
27,4745.82,1.51355,0.96948,1.15828,0.57573,0.49452,0.53882,0.25826,1.54074,1.0153,1.19557,0.008284,0.008284,0.008284
28,4920.73,1.49778,0.95532,1.15504,0.73345,0.51169,0.59133,0.29584,1.52508,0.99921,1.19492,0.008218,0.008218,0.008218
29,5096.2,1.48898,0.94882,1.15128,0.64239,0.52264,0.58097,0.28621,1.50274,0.96899,1.1781,0.008152,0.008152,0.008152
30,5270.63,1.48953,0.94744,1.14734,0.70247,0.56359,0.61336,0.29373,1.52317,0.97793,1.18679,0.008086,0.008086,0.008086
31,5445.21,1.48124,0.9462,1.15038,0.75437,0.48126,0.56824,0.26859,1.55241,1.00464,1.19671,0.00802,0.00802,0.00802
32,5620.27,1.48271,0.9411,1.14735,0.76268,0.53258,0.61649,0.29992,1.5211,0.97598,1.1819,0.007954,0.007954,0.007954
33,5794.65,1.4699,0.92435,1.13659,0.76655,0.53255,0.5958,0.29365,1.49551,0.95053,1.1685,0.007888,0.007888,0.007888
