Time,Model,YAML,Pretrained,Precision,Recall,mAP50,mAP50-95,FLOPs(G),Params(M),FPS,Preprocess(ms),Inference(ms),Postprocess(ms),Total(ms),Epochs,Optimizer,use_simotm,Channels,Batch,Workers,Device,imgsz,Data,Project,Name
2026-05-20 00:20:40,Att_ECA,ultralytics/cfg/models/26-RGBT/2026-05-13/yolo26-RGBT-midfusion-Att_ECA.yaml,weights/yolo26s.pt,0.8514,0.7688,0.8581,0.4899,35.57,15.01,58.4,0.26,16.45,0.41,17.12,100,SGD,RGBT,4,4,0,0,640,ultralytics/cfg/datasets/flir.yaml,runs/FLIR/26dual-test,yolo26s-RGBT-midfusion-Att_ECA
2026-05-25 19:34:40,Att_ELA,ultralytics/cfg/models/26-RGBT/2026-05-13/yolo26-RGBT-midfusion-Att_ELA.yaml,runs/FLIR/26dual-test/yolo26s-RGBT-midfusion-Att_ELA/weights/last.pt,0.8211,0.7695,0.8444,0.4851,36.62,15.4,59.74,0.24,16.06,0.43,16.74,100,SGD,RGBT,4,4,0,0,640,ultralytics/cfg/datasets/flir.yaml,runs/FLIR/26dual-test,yolo26s-RGBT-midfusion-Att_ELA
2026-05-26 07:34:56,midfusion,ultralytics/cfg/models/26-RGBT/yolo26-RGBT-midfusion.yaml,weights/yolo26s.pt,0.8338,0.7807,0.8518,0.492,34.41,15.24,80.58,0.22,11.84,0.34,12.41,100,SGD,RGBT,4,4,0,0,640,ultralytics/cfg/datasets/flir.yaml,runs/FLIR/26dual-test,yolo26s-RGBT-midfusion
2026-05-26 20:47:42,CIFusion,ultralytics/cfg/models/26-RGBT/2026-05-19/yolo26-RGBT-midfusion-CIFusion.yaml,weights/yolo26s.pt,0.8369,0.7756,0.8525,0.4875,50.16,20.74,46.18,0.24,20.88,0.54,21.66,100,SGD,RGBT,4,4,0,0,640,ultralytics/cfg/datasets/flir.yaml,runs/FLIR/26dual-test,yolo26s-RGBT-midfusion-CIFusion
,,,,,,,,,,,,,,,,,,,,,2026-06-01 02:13:52,Att_EMA,ultralytics/cfg/models/26-RGBT/2026-05-13/yolo26-RGBT-midfusion-Att_EMA.yaml,weights/yolo26s.pt,0.8450,0.7748,0.8553,0.4918,37.14,15.07,102.70,0.20,9.25,0.28,9.74,100,SGD,RGBT,4,4,0,0,640,ultralytics/cfg/datasets/flir.yaml,runs/FLIR/26dual-test,yolo26s-RGBT-midfusion-Att_EMA
2026-06-02 00:44:50,Att_GAM,ultralytics/cfg/models/26-RGBT/2026-05-13/yolo26-RGBT-midfusion-Att_GAM.yaml,weights/yolo26s.pt,0.8351,0.7786,0.8555,0.4931,67.04,24.84,71.36,0.21,13.53,0.27,14.01,100,SGD,RGBT,4,4,0,0,640,ultralytics/cfg/datasets/flir.yaml,runs/FLIR/26dual-test,yolo26s-RGBT-midfusion-Att_GAM
2026-06-02 22:13:25,Att_LSKA,ultralytics/cfg/models/26-RGBT/2026-05-13/yolo26-RGBT-midfusion-Att_LSKA.yaml,weights/yolo26s.pt,0.8515,0.7642,0.8493,0.4853,36.87,15.42,102.37,0.21,9.27,0.28,9.77,100,SGD,RGBT,4,4,0,0,640,ultralytics/cfg/datasets/flir.yaml,runs/FLIR/26dual-test,yolo26s-RGBT-midfusion-Att_LSKA
2026-06-03 05:00:51,Att_Shuffle,ultralytics/cfg/models/26-RGBT/2026-05-13/yolo26-RGBT-midfusion-Att_Shuffle.yaml,weights/yolo26s.pt,0.8277,0.7798,0.8493,0.4853,35.56,15.01,110.49,0.20,8.58,0.27,9.05,100,SGD,RGBT,4,4,0,0,640,ultralytics/cfg/datasets/flir.yaml,runs/FLIR/26dual-test,yolo26s-RGBT-midfusion-Att_Shuffle
2026-06-04 19:00:35,Att_SimAM,ultralytics/cfg/models/26-RGBT/2026-05-13/yolo26-RGBT-midfusion-Att_SimAM.yaml,runs/FLIR/26dual-test/yolo26s-RGBT-midfusion-Att_SimAM/weights/last.pt,0.8568,0.7627,0.8466,0.4867,35.56,15.01,110.04,0.20,8.62,0.27,9.09,100,SGD,RGBT,4,4,0,0,640,ultralytics/cfg/datasets/flir.yaml,runs/FLIR/26dual-test,yolo26s-RGBT-midfusion-Att_SimAM
2026-06-05 03:19:42,Att_Triplet,ultralytics/cfg/models/26-RGBT/2026-05-13/yolo26-RGBT-midfusion-Att_Triplet.yaml,weights/yolo26s.pt,0.8337,0.7800,0.8558,0.4892,35.88,15.01,101.75,0.20,9.33,0.29,9.83,100,SGD,RGBT,4,4,0,0,640,ultralytics/cfg/datasets/flir.yaml,runs/FLIR/26dual-test,yolo26s-RGBT-midfusion-Att_Triplet
